Kod;Nazwa;ludność;
3001000;Powiat chodzieski;45476;
3002000;Powiat czarnkowsko-trzcianecki;84020;
3003000;Powiat gnieźnieński;141748;
3004000;Powiat gostyński;73899;
3005000;Powiat grodziski WIE;51626;
3006000;Powiat jarociński;70037;
3007000;Powiat kaliski;82503;
3008000;Powiat kępiński;56071;
3009000;Powiat kolski;82104;
3010000;Powiat koniński;128883;
3011000;Powiat kościański;77404;
3012000;Powiat krotoszyński;75317;
3013000;Powiat leszczyński;59531;
3014000;Powiat międzychodzki;35769;
3015000;Powiat nowotomyski;75182;
3016000;Powiat obornicki;58988;
3017000;Powiat ostrowski WIE;158914;
3018000;Powiat ostrzeszowski;54638;
3019000;Powiat pilski;131265;
3020000;Powiat pleszewski;61523;
3021000;Powiat poznański;442680;
3022000;Powiat rawicki;58867;
3023000;Powiat słupecki;57554;
3024000;Powiat szamotulski;91649;
3025000;Powiat średzki WIE;59847;
3026000;Powiat śremski;61115;
3027000;Powiat turecki;81377;
3028000;Powiat wągrowiecki;69039;
3029000;Powiat wolsztyński;56743;
3030000;Powiat wrzesiński;78176;
3031000;Powiat złotowski;67589;
3061000;Powiat m. Kalisz;93973;
3062000;Powiat m. Konin;68112;
3063000;Powiat m. Leszno;60642;
3064000;Powiat m. Poznań;541316;
3200000;ZACHODNIOPOMORSKIE;1640622;
3201000;Powiat białogardzki;44771;
3202000;Powiat choszczeński;44818;
3203000;Powiat drawski;53960;
3204000;Powiat goleniowski;81486;
3205000;Powiat gryficki;56961;
3206000;Powiat gryfiński;77567;
3207000;Powiat kamieński;44449;
3208000;Powiat kołobrzeski;77087;
3209000;Powiat koszaliński;66364;
3210000;Powiat myśliborski;62668;
3211000;Powiat policki;84924;
3212000;Powiat pyrzycki;36785;
3213000;Powiat sławieński;53384;
3214000;Powiat stargardzki;119190;
3215000;Powiat szczecinecki;73308;
3216000;Powiat świdwiński;43577;
3217000;Powiat wałecki;50388;
3218000;Powiat łobeski;33762;
3261000;Powiat m. Koszalin;104239;
3262000;Powiat m. Szczecin;391566;
3263000;Powiat m. Świnoujście;39368;
